device_id,model,battery_level,battery_status,cleaning_mode,noise_level,suction_power,navigation_type,carpet_detection,dust_container_status
V569,RoboSweep X150,68,<25% - Segera Isi Daya,Karpet,55,2500,LiDAR + vSLAM,Tidak Ada,100%
V570,RoboSweep X200,11,>75%,Maksimal,55,2000,Giroskop,Ada,15%
V571,RoboSweep X200,89,<25% - Segera Isi Daya,Karpet,68,2500,LiDAR + vSLAM,Ada,100%
V572,RoboSweep X200,22,>75%,Standar,50,2500,Giroskop,Tidak Ada,70%
V573,RoboSweep X150,12,25-50%,Karpet,68,2500,Giroskop,Tidak Ada,90%
V574,RoboSweep X200,90,25-50%,Standar,50,2000,LiDAR + vSLAM,Ada,35%
V575,RoboSweep X150,21,25-50%,Standar,68,2000,LiDAR + vSLAM,Tidak Ada,45%
V576,RoboSweep X200,25,>75%,Karpet,55,2000,Giroskop,Ada,30%
V577,RoboSweep X150,34,>75%,Maksimal,68,2500,LiDAR + vSLAM,Ada,20%
V578,RoboSweep X150,19,>75%,Standar,65,2500,Giroskop,Ada,45%
V579,RoboSweep X150,65,<25% - Segera Isi Daya,Standar,65,2500,Giroskop,Tidak Ada,70%
V580,RoboSweep X150,83,<25% - Segera Isi Daya,Standar,50,2500,LiDAR + vSLAM,Tidak Ada,100%
V581,RoboSweep X200,62,>75%,Senyap,68,2000,LiDAR + vSLAM,Tidak Ada,75%
V582,RoboSweep X150,31,>75%,Maksimal,68,2500,LiDAR + vSLAM,Tidak Ada,30%
V583,RoboSweep X200,78,50-75%,Karpet,68,2500,LiDAR + vSLAM,Tidak Ada,100%
V584,RoboSweep X200,93,<25% - Segera Isi Daya,Maksimal,68,2000,LiDAR + vSLAM,Ada,55%
V585,RoboSweep X150,98,<25% - Segera Isi Daya,Senyap,55,2000,Giroskop,Tidak Ada,10%
V586,RoboSweep X150,63,<25% - Segera Isi Daya,Senyap,50,2500,Giroskop,Tidak Ada,45%
V587,RoboSweep X200,40,>75%,Karpet,65,2000,LiDAR + vSLAM,Ada,80%
V588,RoboSweep X150,90,50-75%,Maksimal,50,2500,LiDAR + vSLAM,Tidak Ada,85%
V589,RoboSweep X200,24,50-75%,Standar,65,2000,Giroskop,Ada,70%
V590,RoboSweep X150,17,50-75%,Maksimal,65,2500,LiDAR + vSLAM,Ada,95%
V591,RoboSweep X200,40,>75%,Karpet,65,2000,Giroskop,Ada,100%
V592,RoboSweep X200,45,<25% - Segera Isi Daya,Karpet,68,2000,LiDAR + vSLAM,Tidak Ada,45%
V593,RoboSweep X200,35,25-50%,Maksimal,55,2500,LiDAR + vSLAM,Ada,50%
V594,RoboSweep X200,66,25-50%,Standar,50,2500,Giroskop,Tidak Ada,80%
V595,RoboSweep X150,18,50-75%,Karpet,55,2500,Giroskop,Ada,70%
V596,RoboSweep X200,68,<25% - Segera Isi Daya,Senyap,65,2500,Giroskop,Ada,10%
V597,RoboSweep X200,54,>75%,Standar,68,2500,LiDAR + vSLAM,Tidak Ada,40%
V598,RoboSweep X200,22,50-75%,Senyap,50,2500,Giroskop,Tidak Ada,55%
V599,RoboSweep X150,29,<25% - Segera Isi Daya,Senyap,55,2000,Giroskop,Tidak Ada,20%
V600,RoboSweep X150,32,<25% - Segera Isi Daya,Senyap,65,2500,LiDAR + vSLAM,Tidak Ada,70%
V601,RoboSweep X200,53,25-50%,Standar,65,2500,Giroskop,Tidak Ada,95%
V602,RoboSweep X150,57,>75%,Maksimal,68,2500,LiDAR + vSLAM,Ada,55%
V603,RoboSweep X150,91,50-75%,Senyap,50,2500,Giroskop,Tidak Ada,100%
V604,RoboSweep X150,12,50-75%,Standar,65,2500,Giroskop,Ada,50%
V605,RoboSweep X150,20,>75%,Karpet,65,2500,LiDAR + vSLAM,Ada,75%
V606,RoboSweep X200,61,>75%,Karpet,68,2500,LiDAR + vSLAM,Tidak Ada,70%
V607,RoboSweep X200,91,>75%,Senyap,50,2000,Giroskop,Ada,70%
V608,RoboSweep X200,35,25-50%,Standar,68,2500,Giroskop,Tidak Ada,35%
V609,RoboSweep X200,65,25-50%,Karpet,68,2500,LiDAR + vSLAM,Tidak Ada,30%
V610,RoboSweep X200,42,<25% - Segera Isi Daya,Standar,65,2500,LiDAR + vSLAM,Ada,90%
V611,RoboSweep X200,43,25-50%,Maksimal,65,2500,LiDAR + vSLAM,Ada,70%
V612,RoboSweep X200,47,25-50%,Karpet,68,2000,LiDAR + vSLAM,Tidak Ada,55%
V613,RoboSweep X200,34,>75%,Maksimal,50,2500,Giroskop,Ada,100%
V614,RoboSweep X150,67,25-50%,Karpet,50,2500,Giroskop,Tidak Ada,65%
V615,RoboSweep X200,100,<25% - Segera Isi Daya,Karpet,68,2500,LiDAR + vSLAM,Ada,75%
V616,RoboSweep X200,50,<25% - Segera Isi Daya,Standar,65,2000,LiDAR + vSLAM,Ada,40%
V617,RoboSweep X200,88,50-75%,Maksimal,65,2500,LiDAR + vSLAM,Tidak Ada,30%
V618,RoboSweep X150,14,25-50%,Karpet,68,2500,Giroskop,Tidak Ada,70%
V619,RoboSweep X150,52,>75%,Standar,68,2000,Giroskop,Tidak Ada,20%
V620,RoboSweep X150,49,>75%,Standar,65,2500,LiDAR + vSLAM,Tidak Ada,65%
V621,RoboSweep X200,65,50-75%,Senyap,68,2500,LiDAR + vSLAM,Tidak Ada,65%
V622,RoboSweep X200,84,50-75%,Maksimal,65,2500,LiDAR + vSLAM,Ada,75%
V623,RoboSweep X200,84,>75%,Karpet,55,2500,LiDAR + vSLAM,Tidak Ada,60%
V624,RoboSweep X200,26,<25% - Segera Isi Daya,Karpet,55,2000,Giroskop,Tidak Ada,15%
V625,RoboSweep X150,30,25-50%,Karpet,50,2000,LiDAR + vSLAM,Ada,20%
V626,RoboSweep X150,10,>75%,Senyap,65,2500,LiDAR + vSLAM,Tidak Ada,50%
V627,RoboSweep X200,14,25-50%,Karpet,55,2500,LiDAR + vSLAM,Tidak Ada,35%
V628,RoboSweep X150,72,50-75%,Maksimal,55,2500,Giroskop,Tidak Ada,55%
V629,RoboSweep X150,59,<25% - Segera Isi Daya,Karpet,55,2000,Giroskop,Tidak Ada,40%
V630,RoboSweep X200,85,50-75%,Karpet,65,2000,Giroskop,Tidak Ada,30%
V631,RoboSweep X200,34,<25% - Segera Isi Daya,Karpet,68,2500,LiDAR + vSLAM,Tidak Ada,90%
V632,RoboSweep X150,69,>75%,Karpet,50,2000,Giroskop,Ada,30%
V633,RoboSweep X150,46,25-50%,Senyap,68,2000,Giroskop,Tidak Ada,65%
V634,RoboSweep X150,57,>75%,Maksimal,65,2500,Giroskop,Tidak Ada,10%
V635,RoboSweep X200,40,50-75%,Standar,50,2500,LiDAR + vSLAM,Tidak Ada,45%
V636,RoboSweep X150,65,50-75%,Karpet,50,2000,Giroskop,Ada,95%
V637,RoboSweep X200,24,>75%,Standar,55,2000,LiDAR + vSLAM,Ada,45%
V638,RoboSweep X150,44,>75%,Standar,68,2500,LiDAR + vSLAM,Ada,75%
V639,RoboSweep X150,68,>75%,Karpet,68,2000,Giroskop,Ada,80%
V640,RoboSweep X150,66,50-75%,Maksimal,50,2000,Giroskop,Ada,30%
V641,RoboSweep X200,94,>75%,Senyap,55,2500,Giroskop,Tidak Ada,30%
V642,RoboSweep X200,65,>75%,Standar,50,2000,Giroskop,Tidak Ada,75%
V643,RoboSweep X200,59,<25% - Segera Isi Daya,Karpet,50,2000,Giroskop,Ada,45%
V644,RoboSweep X200,47,50-75%,Standar,68,2000,Giroskop,Tidak Ada,50%
V645,RoboSweep X150,51,50-75%,Karpet,68,2000,Giroskop,Ada,100%
V646,RoboSweep X200,46,50-75%,Senyap,55,2000,Giroskop,Tidak Ada,85%
V647,RoboSweep X200,35,<25% - Segera Isi Daya,Standar,68,2000,Giroskop,Ada,45%
V648,RoboSweep X200,23,25-50%,Standar,65,2500,Giroskop,Tidak Ada,65%
V649,RoboSweep X150,15,25-50%,Standar,55,2500,LiDAR + vSLAM,Ada,30%
V650,RoboSweep X200,83,>75%,Maksimal,50,2000,LiDAR + vSLAM,Tidak Ada,70%
V651,RoboSweep X200,87,>75%,Senyap,55,2500,Giroskop,Ada,95%
V652,RoboSweep X200,14,50-75%,Senyap,55,2500,LiDAR + vSLAM,Tidak Ada,80%
V653,RoboSweep X150,75,>75%,Senyap,65,2500,Giroskop,Ada,15%
V654,RoboSweep X150,99,>75%,Karpet,68,2500,Giroskop,Ada,55%
V655,RoboSweep X150,24,25-50%,Senyap,50,2000,Giroskop,Tidak Ada,35%
V656,RoboSweep X200,44,>75%,Standar,50,2500,LiDAR + vSLAM,Ada,25%
V657,RoboSweep X150,52,50-75%,Maksimal,65,2500,Giroskop,Tidak Ada,10%
V658,RoboSweep X150,34,25-50%,Senyap,65,2000,Giroskop,Tidak Ada,60%
V659,RoboSweep X200,31,50-75%,Karpet,68,2000,Giroskop,Ada,10%
V660,RoboSweep X150,23,>75%,Standar,68,2000,Giroskop,Ada,80%
V661,RoboSweep X150,66,50-75%,Maksimal,55,2500,Giroskop,Tidak Ada,80%
V662,RoboSweep X200,38,50-75%,Senyap,68,2500,LiDAR + vSLAM,Tidak Ada,60%
V663,RoboSweep X200,60,25-50%,Senyap,55,2000,Giroskop,Tidak Ada,85%
V664,RoboSweep X200,39,<25% - Segera Isi Daya,Senyap,55,2500,LiDAR + vSLAM,Ada,30%
V665,RoboSweep X150,52,25-50%,Maksimal,55,2000,Giroskop,Tidak Ada,45%
V666,RoboSweep X200,40,50-75%,Standar,50,2000,Giroskop,Tidak Ada,50%
V667,RoboSweep X150,99,50-75%,Standar,50,2000,LiDAR + vSLAM,Tidak Ada,30%
V668,RoboSweep X200,96,<25% - Segera Isi Daya,Standar,65,2500,LiDAR + vSLAM,Ada,45%
V669,RoboSweep X200,18,25-50%,Maksimal,65,2500,LiDAR + vSLAM,Tidak Ada,100%
V670,RoboSweep X150,34,<25% - Segera Isi Daya,Senyap,50,2500,LiDAR + vSLAM,Ada,100%
V671,RoboSweep X200,97,25-50%,Karpet,55,2500,LiDAR + vSLAM,Ada,90%
V672,RoboSweep X150,24,25-50%,Maksimal,68,2500,Giroskop,Ada,40%
V673,RoboSweep X150,12,50-75%,Karpet,68,2000,Giroskop,Tidak Ada,40%
V674,RoboSweep X150,91,50-75%,Standar,50,2000,Giroskop,Tidak Ada,80%
V675,RoboSweep X200,80,>75%,Standar,68,2500,LiDAR + vSLAM,Ada,20%
V676,RoboSweep X200,23,<25% - Segera Isi Daya,Maksimal,50,2500,LiDAR + vSLAM,Tidak Ada,55%
V677,RoboSweep X150,37,>75%,Karpet,50,2500,LiDAR + vSLAM,Ada,25%
V678,RoboSweep X200,16,50-75%,Standar,68,2000,Giroskop,Tidak Ada,90%
V679,RoboSweep X200,48,25-50%,Senyap,50,2500,Giroskop,Tidak Ada,75%
V680,RoboSweep X200,41,>75%,Maksimal,50,2500,LiDAR + vSLAM,Tidak Ada,20%
V681,RoboSweep X150,42,<25% - Segera Isi Daya,Karpet,68,2000,LiDAR + vSLAM,Ada,100%
V682,RoboSweep X150,17,50-75%,Senyap,65,2500,Giroskop,Ada,50%
V683,RoboSweep X150,74,>75%,Standar,65,2500,Giroskop,Ada,45%
V684,RoboSweep X200,87,<25% - Segera Isi Daya,Maksimal,65,2500,Giroskop,Ada,60%
V685,RoboSweep X200,38,50-75%,Senyap,50,2000,Giroskop,Ada,15%
V686,RoboSweep X150,56,25-50%,Maksimal,65,2500,Giroskop,Ada,35%
V687,RoboSweep X150,10,<25% - Segera Isi Daya,Maksimal,50,2500,LiDAR + vSLAM,Ada,95%
V688,RoboSweep X150,64,>75%,Karpet,65,2000,LiDAR + vSLAM,Ada,70%
V689,RoboSweep X200,95,>75%,Senyap,55,2500,LiDAR + vSLAM,Ada,45%
V690,RoboSweep X200,75,50-75%,Standar,50,2000,LiDAR + vSLAM,Tidak Ada,55%
V691,RoboSweep X150,36,<25% - Segera Isi Daya,Karpet,55,2500,Giroskop,Tidak Ada,85%
V692,RoboSweep X150,52,>75%,Karpet,50,2500,Giroskop,Tidak Ada,45%
V693,RoboSweep X200,12,50-75%,Karpet,68,2500,Giroskop,Tidak Ada,30%
V694,RoboSweep X200,18,50-75%,Maksimal,65,2500,Giroskop,Tidak Ada,85%
V695,RoboSweep X200,76,>75%,Standar,50,2000,LiDAR + vSLAM,Ada,35%
V696,RoboSweep X150,18,50-75%,Maksimal,68,2000,Giroskop,Tidak Ada,55%
V697,RoboSweep X200,73,50-75%,Senyap,65,2500,LiDAR + vSLAM,Ada,90%
V698,RoboSweep X200,18,50-75%,Standar,65,2500,LiDAR + vSLAM,Tidak Ada,30%
V699,RoboSweep X150,59,25-50%,Standar,65,2500,Giroskop,Tidak Ada,40%
V700,RoboSweep X200,87,25-50%,Maksimal,55,2500,LiDAR + vSLAM,Ada,55%
V701,RoboSweep X200,46,<25% - Segera Isi Daya,Maksimal,55,2000,LiDAR + vSLAM,Tidak Ada,95%
V702,RoboSweep X150,77,>75%,Maksimal,55,2500,LiDAR + vSLAM,Tidak Ada,45%
V703,RoboSweep X200,31,50-75%,Standar,68,2500,LiDAR + vSLAM,Ada,90%
V704,RoboSweep X200,23,25-50%,Maksimal,50,2000,Giroskop,Ada,55%
V705,RoboSweep X150,47,>75%,Senyap,65,2000,Giroskop,Ada,50%
V706,RoboSweep X200,41,50-75%,Senyap,55,2500,LiDAR + vSLAM,Ada,100%
V707,RoboSweep X200,82,50-75%,Senyap,50,2000,Giroskop,Tidak Ada,60%
V708,RoboSweep X150,54,25-50%,Standar,68,2000,LiDAR + vSLAM,Tidak Ada,95%
V709,RoboSweep X150,36,50-75%,Maksimal,65,2500,Giroskop,Ada,65%
V710,RoboSweep X200,73,>75%,Karpet,50,2000,LiDAR + vSLAM,Tidak Ada,45%
V711,RoboSweep X200,17,25-50%,Karpet,65,2500,LiDAR + vSLAM,Ada,95%
V712,RoboSweep X150,66,25-50%,Karpet,68,2000,Giroskop,Tidak Ada,40%
V713,RoboSweep X200,81,>75%,Senyap,50,2500,LiDAR + vSLAM,Ada,75%
V714,RoboSweep X200,72,>75%,Maksimal,68,2500,LiDAR + vSLAM,Ada,80%
V715,RoboSweep X150,70,50-75%,Senyap,65,2500,LiDAR + vSLAM,Tidak Ada,45%
V716,RoboSweep X150,65,50-75%,Senyap,55,2500,LiDAR + vSLAM,Ada,60%
V717,RoboSweep X200,41,50-75%,Standar,65,2000,LiDAR + vSLAM,Ada,45%
V718,RoboSweep X150,30,<25% - Segera Isi Daya,Standar,65,2000,LiDAR + vSLAM,Tidak Ada,85%
V719,RoboSweep X150,62,25-50%,Senyap,50,2000,LiDAR + vSLAM,Tidak Ada,75%
V720,RoboSweep X150,79,25-50%,Maksimal,50,2000,LiDAR + vSLAM,Ada,90%
V721,RoboSweep X200,72,25-50%,Karpet,68,2000,Giroskop,Tidak Ada,80%
V722,RoboSweep X200,38,25-50%,Maksimal,50,2500,Giroskop,Tidak Ada,15%
V723,RoboSweep X150,69,>75%,Maksimal,65,2000,LiDAR + vSLAM,Tidak Ada,50%
V724,RoboSweep X150,84,50-75%,Maksimal,65,2000,LiDAR + vSLAM,Ada,45%
V725,RoboSweep X200,73,<25% - Segera Isi Daya,Karpet,68,2500,LiDAR + vSLAM,Tidak Ada,15%
V726,RoboSweep X200,16,25-50%,Karpet,50,2500,LiDAR + vSLAM,Tidak Ada,100%
V727,RoboSweep X200,42,50-75%,Senyap,68,2000,Giroskop,Tidak Ada,20%
V728,RoboSweep X200,44,25-50%,Karpet,68,2000,LiDAR + vSLAM,Ada,85%
V729,RoboSweep X150,69,>75%,Senyap,68,2500,Giroskop,Tidak Ada,20%
V730,RoboSweep X200,71,25-50%,Karpet,68,2000,Giroskop,Ada,20%
V731,RoboSweep X150,85,>75%,Senyap,65,2000,LiDAR + vSLAM,Tidak Ada,15%
V732,RoboSweep X200,83,50-75%,Senyap,55,2000,Giroskop,Tidak Ada,70%
V733,RoboSweep X150,13,>75%,Karpet,65,2000,LiDAR + vSLAM,Ada,80%
V734,RoboSweep X200,13,50-75%,Maksimal,55,2000,LiDAR + vSLAM,Tidak Ada,95%
V735,RoboSweep X150,72,<25% - Segera Isi Daya,Senyap,65,2000,Giroskop,Tidak Ada,70%
V736,RoboSweep X200,62,50-75%,Maksimal,55,2000,Giroskop,Ada,75%
V737,RoboSweep X150,56,<25% - Segera Isi Daya,Maksimal,55,2000,Giroskop,Ada,65%
V738,RoboSweep X150,22,50-75%,Karpet,50,2000,LiDAR + vSLAM,Tidak Ada,15%
V739,RoboSweep X150,11,50-75%,Standar,65,2500,Giroskop,Ada,75%
V740,RoboSweep X200,14,25-50%,Karpet,50,2000,Giroskop,Ada,65%
V741,RoboSweep X150,92,50-75%,Karpet,65,2000,LiDAR + vSLAM,Ada,40%
V742,RoboSweep X200,35,25-50%,Senyap,68,2500,Giroskop,Tidak Ada,65%
V743,RoboSweep X150,76,<25% - Segera Isi Daya,Maksimal,50,2500,Giroskop,Ada,100%
V744,RoboSweep X200,94,50-75%,Maksimal,55,2500,Giroskop,Ada,35%
V745,RoboSweep X200,70,<25% - Segera Isi Daya,Maksimal,55,2000,LiDAR + vSLAM,Ada,10%
V746,RoboSweep X150,99,>75%,Standar,65,2500,Giroskop,Ada,25%
V747,RoboSweep X150,81,50-75%,Karpet,65,2000,Giroskop,Tidak Ada,85%
V748,RoboSweep X150,74,25-50%,Maksimal,68,2000,LiDAR + vSLAM,Tidak Ada,55%
V749,RoboSweep X200,64,50-75%,Standar,68,2500,LiDAR + vSLAM,Ada,65%
V750,RoboSweep X200,95,50-75%,Senyap,55,2500,Giroskop,Ada,50%
V751,RoboSweep X150,82,<25% - Segera Isi Daya,Standar,65,2500,LiDAR + vSLAM,Tidak Ada,55%
V752,RoboSweep X200,93,25-50%,Senyap,65,2500,LiDAR + vSLAM,Ada,30%
V753,RoboSweep X150,75,<25% - Segera Isi Daya,Karpet,65,2500,Giroskop,Ada,55%
V754,RoboSweep X200,54,50-75%,Senyap,55,2500,LiDAR + vSLAM,Ada,90%
V755,RoboSweep X150,87,50-75%,Senyap,50,2500,LiDAR + vSLAM,Tidak Ada,95%
V756,RoboSweep X150,24,<25% - Segera Isi Daya,Standar,50,2000,LiDAR + vSLAM,Tidak Ada,55%
V757,RoboSweep X200,24,25-50%,Standar,68,2500,Giroskop,Tidak Ada,75%
V758,RoboSweep X150,52,<25% - Segera Isi Daya,Maksimal,55,2000,LiDAR + vSLAM,Tidak Ada,40%
V759,RoboSweep X150,57,<25% - Segera Isi Daya,Karpet,68,2000,Giroskop,Ada,15%
V760,RoboSweep X200,26,50-75%,Maksimal,50,2000,Giroskop,Ada,30%
V761,RoboSweep X150,56,>75%,Senyap,55,2000,LiDAR + vSLAM,Ada,100%
V762,RoboSweep X150,17,25-50%,Standar,50,2500,Giroskop,Tidak Ada,95%
V763,RoboSweep X150,85,25-50%,Standar,50,2000,Giroskop,Tidak Ada,95%
V764,RoboSweep X200,41,25-50%,Senyap,50,2500,Giroskop,Ada,85%
V765,RoboSweep X150,60,50-75%,Maksimal,50,2000,LiDAR + vSLAM,Tidak Ada,75%
V766,RoboSweep X150,41,<25% - Segera Isi Daya,Karpet,65,2500,Giroskop,Ada,15%
V767,RoboSweep X150,14,<25% - Segera Isi Daya,Standar,65,2000,Giroskop,Ada,80%
V768,RoboSweep X150,44,50-75%,Maksimal,65,2000,LiDAR + vSLAM,Tidak Ada,95%
V769,RoboSweep X200,44,50-75%,Standar,50,2500,LiDAR + vSLAM,Ada,25%
V770,RoboSweep X150,48,25-50%,Standar,65,2500,LiDAR + vSLAM,Tidak Ada,80%
V771,RoboSweep X200,63,25-50%,Standar,68,2000,LiDAR + vSLAM,Tidak Ada,20%
V772,RoboSweep X200,98,25-50%,Karpet,50,2000,Giroskop,Ada,85%
V773,RoboSweep X200,48,<25% - Segera Isi Daya,Karpet,65,2000,LiDAR + vSLAM,Tidak Ada,65%
V774,RoboSweep X200,68,<25% - Segera Isi Daya,Karpet,68,2000,LiDAR + vSLAM,Tidak Ada,90%
V775,RoboSweep X200,96,>75%,Maksimal,68,2500,LiDAR + vSLAM,Tidak Ada,10%
V776,RoboSweep X200,68,<25% - Segera Isi Daya,Karpet,68,2000,LiDAR + vSLAM,Tidak Ada,70%
V777,RoboSweep X200,30,>75%,Senyap,50,2000,Giroskop,Ada,85%
V778,RoboSweep X200,68,50-75%,Karpet,50,2500,Giroskop,Tidak Ada,75%
V779,RoboSweep X150,63,<25% - Segera Isi Daya,Karpet,50,2000,Giroskop,Tidak Ada,75%
V780,RoboSweep X200,76,50-75%,Maksimal,50,2500,Giroskop,Ada,50%
V781,RoboSweep X200,83,>75%,Standar,55,2500,LiDAR + vSLAM,Tidak Ada,100%
V782,RoboSweep X150,74,>75%,Maksimal,55,2000,Giroskop,Tidak Ada,15%
V783,RoboSweep X200,50,<25% - Segera Isi Daya,Maksimal,55,2000,LiDAR + vSLAM,Tidak Ada,75%
V784,RoboSweep X150,98,50-75%,Maksimal,68,2000,Giroskop,Tidak Ada,95%
V785,RoboSweep X150,70,25-50%,Maksimal,55,2000,LiDAR + vSLAM,Ada,65%
V786,RoboSweep X150,78,>75%,Senyap,65,2000,LiDAR + vSLAM,Ada,35%
V787,RoboSweep X200,30,<25% - Segera Isi Daya,Senyap,55,2000,Giroskop,Tidak Ada,15%
V788,RoboSweep X200,74,25-50%,Maksimal,68,2000,Giroskop,Ada,65%
V789,RoboSweep X150,74,<25% - Segera Isi Daya,Karpet,68,2500,Giroskop,Ada,80%
V790,RoboSweep X200,60,50-75%,Standar,55,2000,LiDAR + vSLAM,Ada,100%
V791,RoboSweep X150,32,>75%,Standar,55,2000,Giroskop,Tidak Ada,10%
V792,RoboSweep X200,85,50-75%,Karpet,65,2000,Giroskop,Ada,35%
V793,RoboSweep X150,12,<25% - Segera Isi Daya,Karpet,68,2500,LiDAR + vSLAM,Tidak Ada,45%
V794,RoboSweep X200,43,>75%,Standar,68,2500,Giroskop,Tidak Ada,45%
V795,RoboSweep X150,32,>75%,Maksimal,68,2500,Giroskop,Ada,20%
V796,RoboSweep X200,93,<25% - Segera Isi Daya,Senyap,68,2500,LiDAR + vSLAM,Ada,70%
V797,RoboSweep X200,87,>75%,Maksimal,55,2500,Giroskop,Ada,40%
V798,RoboSweep X150,63,>75%,Karpet,68,2500,LiDAR + vSLAM,Ada,25%
V799,RoboSweep X200,70,>75%,Maksimal,68,2500,LiDAR + vSLAM,Ada,45%
V800,RoboSweep X150,85,25-50%,Maksimal,68,2500,LiDAR + vSLAM,Tidak Ada,75%
V801,RoboSweep X150,56,50-75%,Maksimal,65,2000,LiDAR + vSLAM,Ada,95%
V802,RoboSweep X150,78,50-75%,Senyap,55,2500,LiDAR + vSLAM,Tidak Ada,95%
V803,RoboSweep X150,69,50-75%,Maksimal,65,2000,Giroskop,Tidak Ada,65%
V804,RoboSweep X150,94,50-75%,Senyap,68,2500,Giroskop,Tidak Ada,50%
V805,RoboSweep X150,36,25-50%,Senyap,65,2500,LiDAR + vSLAM,Tidak Ada,65%
V806,RoboSweep X150,95,<25% - Segera Isi Daya,Standar,55,2000,Giroskop,Ada,10%
V807,RoboSweep X150,62,<25% - Segera Isi Daya,Maksimal,55,2500,LiDAR + vSLAM,Ada,65%
V808,RoboSweep X150,82,25-50%,Karpet,68,2000,LiDAR + vSLAM,Ada,10%
V809,RoboSweep X200,15,>75%,Maksimal,55,2500,LiDAR + vSLAM,Tidak Ada,75%
V810,RoboSweep X150,33,<25% - Segera Isi Daya,Maksimal,65,2500,Giroskop,Tidak Ada,90%
V811,RoboSweep X200,28,25-50%,Standar,55,2000,Giroskop,Tidak Ada,70%
V812,RoboSweep X150,77,<25% - Segera Isi Daya,Karpet,50,2500,Giroskop,Ada,95%
V813,RoboSweep X200,32,>75%,Maksimal,50,2000,Giroskop,Tidak Ada,95%
V814,RoboSweep X150,55,50-75%,Senyap,65,2000,Giroskop,Ada,55%
V815,RoboSweep X150,34,25-50%,Senyap,65,2000,Giroskop,Ada,60%
V816,RoboSweep X200,75,>75%,Senyap,55,2000,Giroskop,Ada,10%
V817,RoboSweep X150,61,25-50%,Maksimal,50,2000,LiDAR + vSLAM,Ada,35%
V818,RoboSweep X150,61,50-75%,Standar,68,2000,Giroskop,Tidak Ada,55%
V819,RoboSweep X150,93,<25% - Segera Isi Daya,Standar,50,2500,Giroskop,Ada,95%
V820,RoboSweep X150,59,<25% - Segera Isi Daya,Standar,55,2500,LiDAR + vSLAM,Ada,45%
V821,RoboSweep X200,44,<25% - Segera Isi Daya,Senyap,65,2000,Giroskop,Ada,35%
V822,RoboSweep X150,77,>75%,Senyap,55,2500,LiDAR + vSLAM,Tidak Ada,30%
V823,RoboSweep X150,63,25-50%,Standar,55,2000,LiDAR + vSLAM,Tidak Ada,90%
V824,RoboSweep X200,18,<25% - Segera Isi Daya,Maksimal,65,2000,Giroskop,Tidak Ada,10%
V825,RoboSweep X150,24,>75%,Maksimal,50,2000,LiDAR + vSLAM,Tidak Ada,15%
V826,RoboSweep X200,67,25-50%,Maksimal,65,2000,Giroskop,Tidak Ada,70%
V827,RoboSweep X150,93,<25% - Segera Isi Daya,Senyap,50,2500,Giroskop,Ada,60%
V828,RoboSweep X200,88,>75%,Senyap,68,2500,Giroskop,Tidak Ada,60%
V829,RoboSweep X150,38,>75%,Maksimal,50,2500,LiDAR + vSLAM,Ada,90%
V830,RoboSweep X150,18,<25% - Segera Isi Daya,Standar,65,2500,LiDAR + vSLAM,Ada,20%
V831,RoboSweep X200,55,25-50%,Senyap,68,2500,Giroskop,Tidak Ada,10%
V832,RoboSweep X150,86,25-50%,Standar,50,2500,LiDAR + vSLAM,Tidak Ada,15%
V833,RoboSweep X150,19,50-75%,Karpet,65,2000,Giroskop,Tidak Ada,40%
V834,RoboSweep X200,93,50-75%,Maksimal,55,2000,Giroskop,Ada,10%
V835,RoboSweep X200,21,25-50%,Maksimal,65,2000,Giroskop,Tidak Ada,90%
V836,RoboSweep X150,23,25-50%,Maksimal,50,2500,Giroskop,Ada,20%
V837,RoboSweep X150,40,50-75%,Standar,55,2500,LiDAR + vSLAM,Tidak Ada,70%
V838,RoboSweep X150,72,25-50%,Maksimal,68,2500,LiDAR + vSLAM,Tidak Ada,95%
V839,RoboSweep X200,73,25-50%,Maksimal,68,2000,LiDAR + vSLAM,Tidak Ada,50%
V840,RoboSweep X200,54,>75%,Karpet,65,2500,Giroskop,Ada,10%
V841,RoboSweep X150,90,50-75%,Maksimal,50,2500,LiDAR + vSLAM,Ada,30%
V842,RoboSweep X200,68,50-75%,Senyap,68,2500,LiDAR + vSLAM,Ada,75%
V843,RoboSweep X150,98,>75%,Senyap,50,2000,LiDAR + vSLAM,Tidak Ada,70%
V844,RoboSweep X150,64,50-75%,Karpet,65,2000,LiDAR + vSLAM,Tidak Ada,100%
V845,RoboSweep X200,14,>75%,Maksimal,50,2500,Giroskop,Ada,75%
V846,RoboSweep X150,88,>75%,Senyap,55,2500,Giroskop,Ada,95%
V847,RoboSweep X200,54,<25% - Segera Isi Daya,Standar,50,2500,LiDAR + vSLAM,Ada,90%
V848,RoboSweep X200,12,50-75%,Standar,50,2000,Giroskop,Tidak Ada,85%
V849,RoboSweep X150,71,50-75%,Maksimal,68,2500,LiDAR + vSLAM,Ada,50%
V850,RoboSweep X200,17,50-75%,Standar,68,2500,LiDAR + vSLAM,Tidak Ada,15%
V851,RoboSweep X150,66,50-75%,Senyap,65,2000,LiDAR + vSLAM,Tidak Ada,80%
V852,RoboSweep X200,54,25-50%,Karpet,55,2000,LiDAR + vSLAM,Ada,70%
V853,RoboSweep X200,54,25-50%,Standar,68,2500,LiDAR + vSLAM,Ada,70%
